UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	9
8	0
0	0
0	11
0	0
0	6
0	0
0	0
0	6
0	11
0	0
0	4
0	0
7	0
0	1
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
5	0
5	0
0	0
8	0
6	0
5	0
0	0
0	0
0	0
14	0
0	0
7	0
0	0
0	0
0	0
0	0
2	0
0	0
0	6
7	0
6	0
0	0
0	0
3	0
0	0
0	0
0	0
0	12
9	0
1	0
13	0
2	0
12	0
0	0
2	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
9	0
10	0
4	0
0	0
18	0
5	0
8	0
6	0
5	0
0	0
0	0
4	0
0	0
0	0
3	0
8	0
0	0
3	0
5	0
0	0
0	0
20	0
15	0
1	0
32	0
16	0
0	0
0	0
0	0
3	0
6	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
2	0
0	12
0	11
0	0
0	9
0	0
0	4
0	6
0	0
0	0
0	0
0	0
13	0
2	0
10	0
0	0
0	0
5	0
3	0
0	0
0	0
0	11
0	0
0	6
0	0
0	0
0	6
7	0
0	7
0	7
5	0
10	0
0	7
10	7
0	7
41	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	25
10	56
0	24
12	38
0	26
0	26
2	9
0	0
25	0
0	4
0	21
42	33
0	25
0	4
0	0
8	0
0	0
12	0
0	17
0	17
0	54
0	54
22	22
10	3
0	0
14	0
0	3
0	5
0	0
0	0
0	8
2	0
0	0
1	0
5	0
0	0
10	0
0	3
0	0
0	0
2	0
0	2
0	0
0	5
4	0
0	5
0	0
0	0
0	1
2	0
3	0
13	11
5	0
6	0
0	0
0	0
0	0
0	0
0	5
0	1
0	0
0	0
0	0
9	2
0	0
0	1
0	11
0	1
0	1
6	0
0	32
2	0
3	0
0	0
0	0
0	0
0	2
0	18
0	0
6	0
0	0
1	0
6	0
0	32
0	0
0	3
4	0
0	6
16	0
3	0
1	0
4	0
5	0
13	0
0	0
0	1
0	6
2	0
3	5
0	2
2	1
0	0
0	0
8	0
0	0
0	0
0	0
0	1
2	0
4	7
0	7
0	0
0	2
0	0
0	0
0	5
0	0
0	1
0	5
0	1
0	2
5	0
0	0
0	0
0	0
0	5
0	15
0	0
0	10
0	0
0	0
0	1
