UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	2
1	0
0	9
0	15
2	0
2	11
0	0
6	0
0	4
0	16
0	1
3	3
0	0
0	0
0	2
0	4
0	1
0	2
1	11
5	7
0	1
0	0
0	11
11	0
7	0
4	0
0	0
6	0
0	0
1	0
4	2
6	0
4	0
0	0
24	0
0	12
12	0
5	0
1	0
14	0
0	6
0	3
2	0
1	10
0	0
0	1
0	0
5	0
0	0
4	0
4	2
6	0
10	0
4	0
6	0
6	0
1	0
3	0
3	0
5	0
0	2
0	7
0	10
1	6
0	0
0	1
13	12
1	0
0	0
8	0
1	0
4	0
4	0
8	0
14	0
0	0
2	0
3	0
0	0
0	0
4	0
2	0
0	0
0	0
0	0
12	0
11	0
4	0
4	0
4	0
0	0
5	0
0	0
2	0
4	0
6	0
5	0
3	0
1	0
2	0
8	0
8	0
1	0
2	0
1	0
0	0
2	0
0	11
0	9
0	0
0	2
0	15
3	1
0	2
0	0
0	3
1	3
0	0
0	4
0	1
10	0
13	0
9	0
39	0
4	0
4	2
7	4
3	0
15	2
2	0
0	16
0	11
0	11
0	1
0	0
0	4
1	0
0	22
0	19
8	0
7	0
4	21
0	19
10	13
93	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	34
0	40
0	30
0	45
37	84
0	52
0	38
0	23
0	23
23	0
5	20
1	40
19	65
0	40
5	20
0	9
10	1
3	1
16	0
4	15
0	10
0	26
0	30
30	40
27	47
0	23
11	0
1	8
0	14
0	0
10	0
0	3
12	0
9	0
0	0
4	0
0	0
3	0
0	2
5	0
6	0
5	0
0	0
0	0
0	0
0	0
0	6
0	0
9	0
0	2
5	0
1	0
15	5
2	0
3	0
0	2
0	0
0	0
0	8
0	3
0	16
0	2
0	18
0	1
10	8
0	0
0	7
0	0
0	5
0	1
0	0
0	2
1	0
6	0
1	1
0	1
0	3
11	8
2	5
2	0
6	0
0	0
0	10
7	1
0	2
10	0
0	2
11	0
0	0
7	0
1	0
6	0
5	0
0	0
19	0
0	1
9	3
9	0
3	0
6	0
0	0
4	19
5	0
0	1
2	1
2	4
1	0
4	0
0	5
0	14
3	3
0	6
0	19
0	3
1	8
0	8
0	6
0	1
0	2
0	3
0	16
0	0
3	10
0	0
0	1
0	2
0	0
1	5
0	3
0	9
0	10
0	0
0	7
