UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	1
12	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
1	4
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
11	0
7	0
0	0
0	0
0	0
0	0
0	0
0	5
31	0
5	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	21
0	7
0	0
0	0
19	0
0	13
0	0
0	0
0	0
0	0
12	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	5
7	0
0	0
0	0
0	0
0	0
4	0
2	0
0	0
13	0
0	0
0	0
0	0
0	0
0	0
8	0
4	0
4	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
11	0
4	0
0	0
13	0
0	0
0	0
12	0
0	0
0	0
0	0
4	0
3	0
0	0
2	0
11	0
4	0
0	0
0	1
12	0
0	13
0	1
0	0
3	0
0	0
0	0
0	0
0	12
0	0
0	21
4	0
0	0
2	0
15	0
11	0
4	0
2	0
0	0
5	0
10	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	8
0	7
11	0
9	0
0	8
0	7
20	11
16	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	17
0	0
12	25
0	17
32	53
0	29
0	22
0	1
0	0
14	0
2	27
0	0
26	34
0	0
1	27
0	0
13	4
0	4
14	0
0	0
0	0
17	8
0	25
11	11
49	8
0	0
17	0
0	0
0	10
0	0
3	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
2	0
3	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	1
0	2
0	3
0	5
1	15
0	0
0	6
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	5
0	14
0	15
0	5
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
18	0
0	13
6	0
9	0
19	0
9	0
4	0
15	0
0	0
0	0
9	0
0	0
0	8
0	5
0	0
9	0
0	0
0	0
0	0
0	0
0	0
0	4
0	6
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	1
0	0
6	0
0	0
0	5
0	10
0	3
0	17
0	0
0	0
0	0
0	0
0	6
