UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	3
1	0
0	5
0	3
7	0
0	15
0	1
0	0
0	0
0	5
11	2
0	2
4	0
0	0
0	0
0	0
0	0
0	2
0	9
1	1
0	0
4	0
0	2
5	0
0	0
0	1
1	0
11	0
0	0
1	0
0	2
1	0
9	0
0	0
4	0
0	0
0	0
0	0
1	0
1	0
0	1
0	4
0	0
0	6
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
4	0
4	0
0	0
0	0
10	0
0	0
0	0
0	1
0	6
3	1
0	0
0	2
0	0
2	0
0	0
10	0
0	0
2	0
0	0
2	0
0	0
0	0
4	0
15	0
7	0
0	0
4	0
7	0
0	0
2	0
0	0
10	0
2	0
15	0
2	0
5	0
6	0
0	0
2	0
9	0
2	0
9	0
4	0
5	0
17	0
1	0
0	0
0	0
0	2
0	2
1	0
0	0
3	0
0	9
0	5
0	1
0	0
0	3
0	0
1	3
0	0
0	2
0	4
0	1
0	0
0	0
2	0
12	0
18	0
16	0
0	0
3	2
9	2
7	2
1	0
8	0
0	5
0	2
0	15
0	0
0	0
0	0
4	0
0	30
0	22
15	0
7	0
2	30
0	22
4	9
44	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	31
0	24
0	3
7	54
0	25
0	19
2	5
0	7
18	0
0	18
0	7
18	60
0	31
1	18
0	0
4	2
0	2
15	0
5	10
0	5
0	24
0	24
11	19
22	30
0	7
9	0
0	14
0	6
0	0
0	0
0	7
0	0
13	0
3	0
2	0
0	0
0	0
0	1
3	3
0	0
6	0
0	0
0	0
0	0
6	0
0	6
0	6
6	0
0	5
0	0
8	0
28	0
0	0
6	0
0	0
0	3
0	0
0	5
0	1
0	0
0	7
0	0
0	1
3	2
0	0
0	0
0	10
0	16
0	10
0	3
0	0
4	0
2	0
0	1
0	0
0	2
0	2
0	11
0	0
0	0
0	0
1	8
4	0
0	0
1	0
0	27
2	0
0	0
0	0
4	0
2	0
17	1
8	0
5	0
1	0
0	0
8	0
4	0
0	2
0	0
0	5
9	0
2	0
0	0
3	6
3	0
6	0
0	1
0	2
0	5
0	5
0	3
0	9
0	0
0	0
0	6
0	0
0	5
0	1
0	0
0	0
4	5
0	0
0	1
0	0
0	0
0	5
0	0
0	3
0	1
0	6
0	0
