UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
2	0
0	0
0	4
0	1
0	0
0	0
0	0
0	1
0	10
0	4
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
4	0
0	0
0	0
6	0
0	6
0	0
0	0
0	0
6	0
0	6
0	0
0	0
0	4
10	0
1	12
0	6
0	11
0	20
0	0
0	0
3	0
0	6
0	0
0	0
0	0
15	0
0	0
0	0
7	0
1	0
8	0
0	1
0	0
0	12
0	0
0	0
0	1
0	0
1	0
0	0
0	0
1	0
5	0
0	0
0	0
0	0
8	0
0	0
19	0
18	0
9	0
1	0
2	0
0	0
2	0
0	0
8	0
7	0
17	0
0	0
0	0
5	0
0	0
0	0
15	0
10	0
9	0
17	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
5	0
0	6
0	0
18	0
0	0
2	0
0	0
0	4
0	20
0	10
0	11
12	0
0	0
7	0
1	0
4	0
7	0
8	0
15	0
14	0
0	0
0	4
0	0
2	0
0	4
0	6
0	0
0	0
0	4
0	5
0	0
6	0
0	4
0	5
11	26
34	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
7	22
3	3
34	59
0	13
0	13
0	0
0	14
33	0
6	15
0	13
11	34
0	12
0	15
0	9
7	0
0	0
0	0
0	10
0	0
0	22
0	22
9	38
31	31
0	14
0	0
0	0
0	20
0	0
2	0
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	10
19	0
8	0
2	0
0	21
0	0
0	0
1	0
0	0
0	0
1	0
0	12
7	0
0	0
8	0
8	0
0	0
0	2
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
1	0
0	5
0	0
8	0
0	3
0	15
0	0
0	2
0	25
2	0
11	0
0	0
0	6
0	0
0	5
2	0
0	9
15	0
0	10
25	0
4	0
0	0
7	0
0	0
20	0
19	0
1	4
18	0
8	0
0	0
0	10
2	7
6	0
0	0
0	0
0	0
7	0
0	0
0	11
0	6
0	0
0	0
0	0
0	13
0	5
0	5
0	0
0	15
0	12
0	0
0	0
0	21
0	6
0	0
0	0
0	2
0	0
7	1
0	0
0	4
0	3
0	0
0	0
